"exp","Training","Testing","Analysis"
"exp002_06_DBASE_C_GLV-LSTM","'CHIS_COMPLETE'","'HINTS_COMPLETE'","GLV-LSTM"
"exp002_06_DBASE_C_GLV-FC","'CHIS_COMPLETE'","'HINTS_COMPLETE'","GLV-FC"
"exp002_07_DBASE_G_LR","'GSS'","'ANHCS'","LR"
"exp002_07_DBASE_G_RFC","'GSS'","'ANHCS'","RFC"
"exp002_07_DBASE_G_FC","'GSS'","'ANHCS'","FC"
"exp002_07_DBASE_G_LSTM","'GSS'","'ANHCS'","LSTM"
"exp002_07_DBASE_G_GLV-LSTM","'GSS'","'ANHCS'","GLV-LSTM"
"exp002_07_DBASE_G_GLV-FC","'GSS'","'ANHCS'","GLV-FC"
"exp002_08_DBASE_G_LR","'GSS'","'CHIS_COMPLETE'","LR"
"exp002_08_DBASE_G_RFC","'GSS'","'CHIS_COMPLETE'","RFC"
"exp002_08_DBASE_G_FC","'GSS'","'CHIS_COMPLETE'","FC"
"exp002_08_DBASE_G_LSTM","'GSS'","'CHIS_COMPLETE'","LSTM"
"exp002_08_DBASE_G_GLV-LSTM","'GSS'","'CHIS_COMPLETE'","GLV-LSTM"
"exp002_08_DBASE_G_GLV-FC","'GSS'","'CHIS_COMPLETE'","GLV-FC"
"exp002_09_DBASE_G_LR","'GSS'","'HINTS_COMPLETE'","LR"
"exp002_09_DBASE_G_RFC","'GSS'","'HINTS_COMPLETE'","RFC"
"exp002_09_DBASE_G_FC","'GSS'","'HINTS_COMPLETE'","FC"
"exp002_09_DBASE_G_LSTM","'GSS'","'HINTS_COMPLETE'","LSTM"
"exp002_09_DBASE_G_GLV-LSTM","'GSS'","'HINTS_COMPLETE'","GLV-LSTM"
"exp002_09_DBASE_G_GLV-FC","'GSS'","'HINTS_COMPLETE'","GLV-FC"
"exp002_10_DBASE_H_LR","'HINTS_COMPLETE'","'ANHCS'","LR"
"exp002_10_DBASE_H_RFC","'HINTS_COMPLETE'","'ANHCS'","RFC"
"exp002_10_DBASE_H_FC","'HINTS_COMPLETE'","'ANHCS'","FC"
"exp002_10_DBASE_H_LSTM","'HINTS_COMPLETE'","'ANHCS'","LSTM"
"exp002_10_DBASE_H_GLV-LSTM","'HINTS_COMPLETE'","'ANHCS'","GLV-LSTM"
"exp002_10_DBASE_H_GLV-FC","'HINTS_COMPLETE'","'ANHCS'","GLV-FC"
"exp002_11_DBASE_H_LR","'HINTS_COMPLETE'","'CHIS_COMPLETE'","LR"
"exp002_11_DBASE_H_RFC","'HINTS_COMPLETE'","'CHIS_COMPLETE'","RFC"
"exp002_11_DBASE_H_FC","'HINTS_COMPLETE'","'CHIS_COMPLETE'","FC"
"exp002_11_DBASE_H_LSTM","'HINTS_COMPLETE'","'CHIS_COMPLETE'","LSTM"
"exp002_11_DBASE_H_GLV-LSTM","'HINTS_COMPLETE'","'CHIS_COMPLETE'","GLV-LSTM"
"exp002_11_DBASE_H_GLV-FC","'HINTS_COMPLETE'","'CHIS_COMPLETE'","GLV-FC"
"exp002_12_DBASE_H_LR","'HINTS_COMPLETE'","'GSS'","LR"
"exp002_12_DBASE_H_RFC","'HINTS_COMPLETE'","'GSS'","RFC"
"exp002_12_DBASE_H_FC","'HINTS_COMPLETE'","'GSS'","FC"
"exp002_12_DBASE_H_LSTM","'HINTS_COMPLETE'","'GSS'","LSTM"
"exp002_12_DBASE_H_GLV-LSTM","'HINTS_COMPLETE'","'GSS'","GLV-LSTM"
"exp002_12_DBASE_H_GLV-FC","'HINTS_COMPLETE'","'GSS'","GLV-FC"
